Person	Item	Rating
P1	practice_1	5
P1	peak_practice_1	6
P1	instruments_1	5
P1	Gold_1_1	7
P1	Gold_1_2	7
P1	Gold_1_3	4
P1	Gold_1_4	7
P1	Gold_1_5	7
P1	Gold_1_6	7
P1	Gold_1_7	2
P1	Gold_1_8	7
P1	Gold_1_9	2
P1	Gold_1_10	7
P1	Gold_1_11	1
P1	Gold_1_12	6
P1	Gold_1_13	4
P1	Gold_1_14	1
P1	Gold_1_15	7
P2	practice_1	7
P2	peak_practice_1	6
P2	instruments_1	5
P2	Gold_1_1	7
P2	Gold_1_2	5
P2	Gold_1_3	7
P2	Gold_1_4	7
P2	Gold_1_5	7
P2	Gold_1_6	7
P2	Gold_1_7	1
P2	Gold_1_8	7
P2	Gold_1_9	1
P2	Gold_1_10	7
P2	Gold_1_11	1
P2	Gold_1_12	5
P2	Gold_1_13	3
P2	Gold_1_14	1
P2	Gold_1_15	7
P3	practice_1	7
P3	peak_practice_1	3
P3	instruments_1	7
P3	Gold_1_1	5
P3	Gold_1_2	4
P3	Gold_1_3	3
P3	Gold_1_4	7
P3	Gold_1_5	3
P3	Gold_1_6	7
P3	Gold_1_7	1
P3	Gold_1_8	5
P3	Gold_1_9	3
P3	Gold_1_10	6
P3	Gold_1_11	2
P3	Gold_1_12	7
P3	Gold_1_13	6
P3	Gold_1_14	7
P3	Gold_1_15	6
P4	practice_1	7
P4	peak_practice_1	6
P4	instruments_1	4
P4	Gold_1_1	5
P4	Gold_1_2	5
P4	Gold_1_3	5
P4	Gold_1_4	7
P4	Gold_1_5	7
P4	Gold_1_6	7
P4	Gold_1_7	1
P4	Gold_1_8	7
P4	Gold_1_9	1
P4	Gold_1_10	6
P4	Gold_1_11	1
P4	Gold_1_12	7
P4	Gold_1_13	1
P4	Gold_1_14	1
P4	Gold_1_15	3
P5	practice_1	3
P5	peak_practice_1	3
P5	instruments_1	3
P5	Gold_1_1	5
P5	Gold_1_2	5
P5	Gold_1_3	2
P5	Gold_1_4	5
P5	Gold_1_5	5
P5	Gold_1_6	4
P5	Gold_1_7	2
P5	Gold_1_8	7
P5	Gold_1_9	3
P5	Gold_1_10	6
P5	Gold_1_11	3
P5	Gold_1_12	5
P5	Gold_1_13	5
P5	Gold_1_14	6
P5	Gold_1_15	6
P6	practice_1	5
P6	peak_practice_1	5
P6	instruments_1	4
P6	Gold_1_1	6
P6	Gold_1_2	1
P6	Gold_1_3	5
P6	Gold_1_4	5
P6	Gold_1_5	6
P6	Gold_1_6	5
P6	Gold_1_7	3
P6	Gold_1_8	6
P6	Gold_1_9	3
P6	Gold_1_10	4
P6	Gold_1_11	2
P6	Gold_1_12	6
P6	Gold_1_13	4
P6	Gold_1_14	5
P6	Gold_1_15	5
P7	practice_1	6
P7	peak_practice_1	2
P7	instruments_1	4
P7	Gold_1_1	7
P7	Gold_1_2	3
P7	Gold_1_3	6
P7	Gold_1_4	6
P7	Gold_1_5	7
P7	Gold_1_6	7
P7	Gold_1_7	4
P7	Gold_1_8	7
P7	Gold_1_9	1
P7	Gold_1_10	6
P7	Gold_1_11	1
P7	Gold_1_12	7
P7	Gold_1_13	6
P7	Gold_1_14	3
P7	Gold_1_15	7
P8	practice_1	7
P8	peak_practice_1	3
P8	instruments_1	3
P8	Gold_1_1	3
P8	Gold_1_2	2
P8	Gold_1_3	5
P8	Gold_1_4	7
P8	Gold_1_5	5
P8	Gold_1_6	7
P8	Gold_1_7	1
P8	Gold_1_8	6
P8	Gold_1_9	1
P8	Gold_1_10	7
P8	Gold_1_11	2
P8	Gold_1_12	7
P8	Gold_1_13	5
P8	Gold_1_14	3
P8	Gold_1_15	7
P9	practice_1	7
P9	peak_practice_1	4
P9	instruments_1	5
P9	Gold_1_1	5
P9	Gold_1_2	1
P9	Gold_1_3	3
P9	Gold_1_4	7
P9	Gold_1_5	7
P9	Gold_1_6	7
P9	Gold_1_7	1
P9	Gold_1_8	7
P9	Gold_1_9	1
P9	Gold_1_10	5
P9	Gold_1_11	1
P9	Gold_1_12	7
P9	Gold_1_13	3
P9	Gold_1_14	1
P9	Gold_1_15	6
P10	practice_1	7
P10	peak_practice_1	3
P10	instruments_1	4
P10	Gold_1_1	5
P10	Gold_1_2	2
P10	Gold_1_3	2
P10	Gold_1_4	6
P10	Gold_1_5	6
P10	Gold_1_6	3
P10	Gold_1_7	5
P10	Gold_1_8	5
P10	Gold_1_9	6
P10	Gold_1_10	3
P10	Gold_1_11	3
P10	Gold_1_12	5
P10	Gold_1_13	4
P10	Gold_1_14	3
P10	Gold_1_15	6
P11	practice_1	5
P11	peak_practice_1	4
P11	instruments_1	3
P11	Gold_1_1	6
P11	Gold_1_2	3
P11	Gold_1_3	4
P11	Gold_1_4	5
P11	Gold_1_5	5
P11	Gold_1_6	7
P11	Gold_1_7	2
P11	Gold_1_8	7
P11	Gold_1_9	5
P11	Gold_1_10	7
P11	Gold_1_11	2
P11	Gold_1_12	6
P11	Gold_1_13	4
P11	Gold_1_14	3
P11	Gold_1_15	5
P12	practice_1	7
P12	peak_practice_1	5
P12	instruments_1	3
P12	Gold_1_1	6
P12	Gold_1_2	1
P12	Gold_1_3	3
P12	Gold_1_4	5
P12	Gold_1_5	5
