Testname,Listener,Trial,Condition,Ratingscore
SiSEC08,Listener_17,female_inst_sim_1,orig,100
SiSEC08,Listener_17,female_inst_sim_1,Algo8,58
SiSEC08,Listener_17,female_inst_sim_1,Algo21,57
SiSEC08,Listener_17,female_inst_sim_1,Algo22,58
SiSEC08,Listener_17,female_inst_sim_1,Algo24,58
SiSEC08,Listener_17,female_inst_sim_1,Algo25,35
SiSEC08,Listener_17,female_inst_sim_1,Algo27,57
SiSEC08,Listener_17,female_inst_sim_1,Algo30,57
SiSEC08,Listener_17,female_inst_sim_1,Algo32,39
SiSEC08,Listener_17,female_inst_sim_1,Algo34,30
SiSEC08,Listener_17,female_inst_sim_1,anchor,24
SiSEC08,Listener_17,female_inst_sim_2,orig,100
SiSEC08,Listener_17,female_inst_sim_2,Algo8,27
SiSEC08,Listener_17,female_inst_sim_2,Algo21,25
SiSEC08,Listener_17,female_inst_sim_2,Algo22,28
SiSEC08,Listener_17,female_inst_sim_2,Algo24,25
SiSEC08,Listener_17,female_inst_sim_2,Algo25,22
SiSEC08,Listener_17,female_inst_sim_2,Algo27,26
SiSEC08,Listener_17,female_inst_sim_2,Algo30,27
SiSEC08,Listener_17,female_inst_sim_2,Algo32,11
SiSEC08,Listener_17,female_inst_sim_2,Algo34,22
SiSEC08,Listener_17,female_inst_sim_2,anchor,21
SiSEC08,Listener_17,female_inst_sim_3,orig,100
SiSEC08,Listener_17,female_inst_sim_3,Algo8,26
SiSEC08,Listener_17,female_inst_sim_3,Algo21,32
SiSEC08,Listener_17,female_inst_sim_3,Algo22,27
SiSEC08,Listener_17,female_inst_sim_3,Algo24,26
SiSEC08,Listener_17,female_inst_sim_3,Algo25,22
SiSEC08,Listener_17,female_inst_sim_3,Algo27,26
SiSEC08,Listener_17,female_inst_sim_3,Algo30,22
SiSEC08,Listener_17,female_inst_sim_3,Algo32,16
SiSEC08,Listener_17,female_inst_sim_3,Algo34,28
SiSEC08,Listener_17,female_inst_sim_3,anchor,21
SiSEC08,Listener_17,female_inst_sim_4,orig,100
SiSEC08,Listener_17,female_inst_sim_4,Algo8,45
SiSEC08,Listener_17,female_inst_sim_4,Algo21,45
SiSEC08,Listener_17,female_inst_sim_4,Algo22,45
SiSEC08,Listener_17,female_inst_sim_4,Algo24,45
SiSEC08,Listener_17,female_inst_sim_4,Algo25,11
SiSEC08,Listener_17,female_inst_sim_4,Algo27,45
SiSEC08,Listener_17,female_inst_sim_4,Algo30,45
SiSEC08,Listener_17,female_inst_sim_4,Algo32,33
SiSEC08,Listener_17,female_inst_sim_4,Algo34,15
SiSEC08,Listener_17,female_inst_sim_4,anchor,25
SiSEC08,Listener_17,male_inst_sim_1,orig,100
SiSEC08,Listener_17,male_inst_sim_1,Algo8,50
SiSEC08,Listener_17,male_inst_sim_1,Algo21,47
SiSEC08,Listener_17,male_inst_sim_1,Algo22,50
SiSEC08,Listener_17,male_inst_sim_1,Algo24,50
SiSEC08,Listener_17,male_inst_sim_1,Algo25,39
SiSEC08,Listener_17,male_inst_sim_1,Algo27,50
SiSEC08,Listener_17,male_inst_sim_1,Algo30,50
SiSEC08,Listener_17,male_inst_sim_1,Algo32,32
SiSEC08,Listener_17,male_inst_sim_1,Algo34,39
SiSEC08,Listener_17,male_inst_sim_1,anchor,21
SiSEC08,Listener_17,male_inst_sim_2,orig,100
SiSEC08,Listener_17,male_inst_sim_2,Algo8,33
SiSEC08,Listener_17,male_inst_sim_2,Algo21,33
SiSEC08,Listener_17,male_inst_sim_2,Algo22,33
SiSEC08,Listener_17,male_inst_sim_2,Algo24,31
SiSEC08,Listener_17,male_inst_sim_2,Algo25,33
SiSEC08,Listener_17,male_inst_sim_2,Algo27,25
SiSEC08,Listener_17,male_inst_sim_2,Algo30,32
SiSEC08,Listener_17,male_inst_sim_2,Algo32,19
SiSEC08,Listener_17,male_inst_sim_2,Algo34,36
SiSEC08,Listener_17,male_inst_sim_2,anchor,25
SiSEC08,Listener_17,male_inst_sim_3,orig,100
SiSEC08,Listener_17,male_inst_sim_3,Algo8,39
SiSEC08,Listener_17,male_inst_sim_3,Algo21,35
SiSEC08,Listener_17,male_inst_sim_3,Algo22,39
SiSEC08,Listener_17,male_inst_sim_3,Algo24,39
SiSEC08,Listener_17,male_inst_sim_3,Algo25,34
SiSEC08,Listener_17,male_inst_sim_3,Algo27,35
SiSEC08,Listener_17,male_inst_sim_3,Algo30,37
SiSEC08,Listener_17,male_inst_sim_3,Algo32,25
SiSEC08,Listener_17,male_inst_sim_3,Algo34,39
SiSEC08,Listener_17,male_inst_sim_3,anchor,13
SiSEC08,Listener_17,male_inst_sim_4,orig,100
SiSEC08,Listener_17,male_inst_sim_4,Algo8,47
SiSEC08,Listener_17,male_inst_sim_4,Algo21,46
SiSEC08,Listener_17,male_inst_sim_4,Algo22,46
SiSEC08,Listener_17,male_inst_sim_4,Algo24,48
SiSEC08,Listener_17,male_inst_sim_4,Algo25,19
SiSEC08,Listener_17,male_inst_sim_4,Algo27,42
SiSEC08,Listener_17,male_inst_sim_4,Algo30,47
SiSEC08,Listener_17,male_inst_sim_4,Algo32,31
SiSEC08,Listener_17,male_inst_sim_4,Algo34,16
SiSEC08,Listener_17,male_inst_sim_4,anchor,27
SiSEC08,Listener_17,nodrums_inst_sim_1,orig,100
SiSEC08,Listener_17,nodrums_inst_sim_1,Algo8,50
SiSEC08,Listener_17,nodrums_inst_sim_1,Algo21,51
SiSEC08,Listener_17,nodrums_inst_sim_1,Algo22,61
SiSEC08,Listener_17,nodrums_inst_sim_1,Algo24,50
SiSEC08,Listener_17,nodrums_inst_sim_1,Algo25,47
SiSEC08,Listener_17,nodrums_inst_sim_1,Algo27,52
SiSEC08,Listener_17,nodrums_inst_sim_1,Algo30,50
SiSEC08,Listener_17,nodrums_inst_sim_1,Algo32,26
SiSEC08,Listener_17,nodrums_inst_sim_1,Algo34,38
SiSEC08,Listener_17,nodrums_inst_sim_1,anchor,32
SiSEC08,Listener_17,nodrums_inst_sim_2,orig,100
SiSEC08,Listener_17,nodrums_inst_sim_2,Algo8,44
SiSEC08,Listener_17,nodrums_inst_sim_2,Algo21,35
SiSEC08,Listener_17,nodrums_inst_sim_2,Algo22,48
SiSEC08,Listener_17,nodrums_inst_sim_2,Algo24,37
SiSEC08,Listener_17,nodrums_inst_sim_2,Algo25,37
SiSEC08,Listener_17,nodrums_inst_sim_2,Algo27,40
SiSEC08,Listener_17,nodrums_inst_sim_2,Algo30,46
SiSEC08,Listener_17,nodrums_inst_sim_2,Algo32,25
SiSEC08,Listener_17,nodrums_inst_sim_2,Algo34,6
SiSEC08,Listener_17,nodrums_inst_sim_2,anchor,29
SiSEC08,Listener_17,nodrums_inst_sim_3,orig,100
SiSEC08,Listener_17,nodrums_inst_sim_3,Algo8,100
SiSEC08,Listener_17,nodrums_inst_sim_3,Algo21,100
SiSEC08,Listener_17,nodrums_inst_sim_3,Algo22,100
SiSEC08,Listener_17,nodrums_inst_sim_3,Algo24,96
SiSEC08,Listener_17,nodrums_inst_sim_3,Algo25,66
SiSEC08,Listener_17,nodrums_inst_sim_3,Algo27,100
SiSEC08,Listener_17,nodrums_inst_sim_3,Algo30,100
SiSEC08,Listener_17,nodrums_inst_sim_3,Algo32,41
SiSEC08,Listener_17,nodrums_inst_sim_3,Algo34,5
SiSEC08,Listener_17,nodrums_inst_sim_3,anchor,29
SiSEC08,Listener_17,wdrums_inst_sim_1,orig,100
SiSEC08,Listener_17,wdrums_inst_sim_1,Algo8,41
SiSEC08,Listener_17,wdrums_inst_sim_1,Algo21,50
SiSEC08,Listener_17,wdrums_inst_sim_1,Algo22,46
SiSEC08,Listener_17,wdrums_inst_sim_1,Algo24,41
SiSEC08,Listener_17,wdrums_inst_sim_1,Algo25,36
SiSEC08,Listener_17,wdrums_inst_sim_1,Algo27,41
SiSEC08,Listener_17,wdrums_inst_sim_1,Algo30,47
SiSEC08,Listener_17,wdrums_inst_sim_1,Algo32,42
SiSEC08,Listener_17,wdrums_inst_sim_1,Algo34,33
SiSEC08,Listener_17,wdrums_inst_sim_1,anchor,28
SiSEC08,Listener_17,wdrums_inst_sim_2,orig,100
SiSEC08,Listener_17,wdrums_inst_sim_2,Algo8,26
SiSEC08,Listener_17,wdrums_inst_sim_2,Algo21,44
SiSEC08,Listener_17,wdrums_inst_sim_2,Algo22,34
SiSEC08,Listener_17,wdrums_inst_sim_2,Algo24,39
SiSEC08,Listener_17,wdrums_inst_sim_2,Algo25,10
SiSEC08,Listener_17,wdrums_inst_sim_2,Algo27,28
SiSEC08,Listener_17,wdrums_inst_sim_2,Algo30,38
SiSEC08,Listener_17,wdrums_inst_sim_2,Algo32,30
SiSEC08,Listener_17,wdrums_inst_sim_2,Algo34,33
SiSEC08,Listener_17,wdrums_inst_sim_2,anchor,31
SiSEC08,Listener_17,wdrums_inst_sim_3,orig,100
SiSEC08,Listener_17,wdrums_inst_sim_3,Algo8,61
SiSEC08,Listener_17,wdrums_inst_sim_3,Algo21,61
SiSEC08,Listener_17,wdrums_inst_sim_3,Algo22,66
SiSEC08,Listener_17,wdrums_inst_sim_3,Algo24,61
SiSEC08,Listener_17,wdrums_inst_sim_3,Algo25,26
SiSEC08,Listener_17,wdrums_inst_sim_3,Algo27,61
SiSEC08,Listener_17,wdrums_inst_sim_3,Algo30,61
SiSEC08,Listener_17,wdrums_inst_sim_3,Algo32,54
SiSEC08,Listener_17,wdrums_inst_sim_3,Algo34,46
SiSEC08,Listener_17,wdrums_inst_sim_3,anchor,33
SiSEC08,Listener_18,female_inst_sim_1,orig,100
SiSEC08,Listener_18,female_inst_sim_1,Algo8,46
SiSEC08,Listener_18,female_inst_sim_1,Algo21,46
SiSEC08,Listener_18,female_inst_sim_1,Algo22,48
SiSEC08,Listener_18,female_inst_sim_1,Algo24,51
SiSEC08,Listener_18,female_inst_sim_1,Algo25,41
SiSEC08,Listener_18,female_inst_sim_1,Algo27,45
SiSEC08,Listener_18,female_inst_sim_1,Algo30,46
SiSEC08,Listener_18,female_inst_sim_1,Algo32,37
SiSEC08,Listener_18,female_inst_sim_1,Algo34,40
SiSEC08,Listener_18,female_inst_sim_1,anchor,0
SiSEC08,Listener_18,female_inst_sim_2,orig,100
SiSEC08,Listener_18,female_inst_sim_2,Algo8,30
SiSEC08,Listener_18,female_inst_sim_2,Algo21,24
SiSEC08,Listener_18,female_inst_sim_2,Algo22,39
SiSEC08,Listener_18,female_inst_sim_2,Algo24,37
SiSEC08,Listener_18,female_inst_sim_2,Algo25,28
SiSEC08,Listener_18,female_inst_sim_2,Algo27,30
SiSEC08,Listener_18,female_inst_sim_2,Algo30,30
SiSEC08,Listener_18,female_inst_sim_2,Algo32,18
SiSEC08,Listener_18,female_inst_sim_2,Algo34,4
SiSEC08,Listener_18,female_inst_sim_2,anchor,0
