Testname,Listener,Type,Source,Target,Algorithm,Ratingscore
SiSEC08,Listener_17,speech,female,dialog1,orig,100
SiSEC08,Listener_17,speech,female,dialog1,Algo8,58
SiSEC08,Listener_17,speech,female,dialog1,Algo21,57
SiSEC08,Listener_17,speech,female,dialog1,Algo22,58
SiSEC08,Listener_17,speech,female,dialog1,Algo24,58
SiSEC08,Listener_17,speech,female,dialog1,Algo25,35
SiSEC08,Listener_17,speech,female,dialog1,Algo27,57
SiSEC08,Listener_17,speech,female,dialog1,Algo30,57
SiSEC08,Listener_17,speech,female,dialog1,Algo32,39
SiSEC08,Listener_17,speech,female,dialog1,Algo34,30
SiSEC08,Listener_17,speech,female,dialog1,anchor,24
SiSEC08,Listener_17,speech,female,dialog2,orig,100
SiSEC08,Listener_17,speech,female,dialog2,Algo8,27
SiSEC08,Listener_17,speech,female,dialog2,Algo21,25
SiSEC08,Listener_17,speech,female,dialog2,Algo22,28
SiSEC08,Listener_17,speech,female,dialog2,Algo24,25
SiSEC08,Listener_17,speech,female,dialog2,Algo25,22
SiSEC08,Listener_17,speech,female,dialog2,Algo27,26
SiSEC08,Listener_17,speech,female,dialog2,Algo30,27
SiSEC08,Listener_17,speech,female,dialog2,Algo32,11
SiSEC08,Listener_17,speech,female,dialog2,Algo34,22
SiSEC08,Listener_17,speech,female,dialog2,anchor,21
SiSEC08,Listener_17,speech,female,dialog3,orig,100
SiSEC08,Listener_17,speech,female,dialog3,Algo8,26
SiSEC08,Listener_17,speech,female,dialog3,Algo21,32
SiSEC08,Listener_17,speech,female,dialog3,Algo22,27
SiSEC08,Listener_17,speech,female,dialog3,Algo24,26
SiSEC08,Listener_17,speech,female,dialog3,Algo25,22
SiSEC08,Listener_17,speech,female,dialog3,Algo27,26
SiSEC08,Listener_17,speech,female,dialog3,Algo30,22
SiSEC08,Listener_17,speech,female,dialog3,Algo32,16
SiSEC08,Listener_17,speech,female,dialog3,Algo34,28
SiSEC08,Listener_17,speech,female,dialog3,anchor,21
SiSEC08,Listener_17,speech,female,dialog4,orig,100
SiSEC08,Listener_17,speech,female,dialog4,Algo8,45
